symbol,bid,marketCap,displayName,language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,currency,firstTradeDateMilliseconds,marketState,averageAnalystRating,tradeable,exchange,shortName,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,priceHint,postMarketChangePercent,postMarketTime,postMarketPrice,postMarketChange,regularMarketChange,regularMarketChangePercent,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,pageViewGrowthWeekly,dividendDate,trailingThreeMonthNavReturns,trailingThreeMonthReturns,ipoExpectedDate,ytdReturn
SONO,26.73,3510523648.0,Sonos,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,1533216600000.0,POST,2.1 - Buy,False,NMS,"Sonos, Inc.","Sonos, Inc.",finmb_10654809,America/New_York,EDT,-14400000.0,us_market,False,2.0,0.0,1648163794.0,27.51,0.0,0.4699993,1.7381631,1648152003.0,27.51,27.53,26.375 - 27.53,26.375,1419520.0,27.04,27.75,9.0,22.0,NasdaqGS,USD,27.41,2482586.0,1717840.0,6.050001,0.28191993,21.46 - 44.72,-17.210001,-0.384839,21.46,44.72,1644422700.0,1652180340.0,1652702400.0,0.0,26.2,0.0,1.05,1.81,1.34,20.52985,127609000.0,5.324,25.9732,1.5368004,0.059168696,31.8374,-4.3274,-0.13592191,15.198895,5.1671677,15.0,0.0,-0.07896964,,,,,
CSKL,0.0,23461188.0,Catskill Hudson Bancorp,en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,1287149400000.0,POST,,False,PNK,CATSKILL HUDSON BANCORP INC,"Catskill Hudson Bancorp, Inc.",finmb_46569745,America/New_York,EDT,-14400000.0,us_market,False,2.0,,,,,0.0,0.0,1645022371.0,33.5,33.5,33.5 - 33.5,33.5,7.0,33.5,0.0,0.0,0.0,Other OTC,USD,33.5,32.0,0.0,8.200001,0.32411072,25.3 - 33.5,0.0,0.0,25.3,33.5,,,,0.44,20.755886,0.013134329,1.614,,,,700334.0,38.19,32.0798,1.4202003,0.044270862,28.9749,4.5251007,0.15617312,,0.87719303,15.0,0.0,,1642723200.0,,,,
NRK,0.0,1044206528.0,,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,1042727400000.0,POST,,False,NYQ,Nuveen New York AMT-Free Qualit,Nuveen New York AMT-Free Quality Municipal Income Fund,finmb_8493354,America/New_York,EDT,-14400000.0,us_market,False,2.0,,,,,-0.0799999,-0.6639,1648152002.0,11.97,12.04,11.97 - 12.04,11.97,101394.0,12.05,0.0,10.0,13.0,NYSE,USD,12.04,134580.0,102650.0,0.030000687,0.0025126203,11.94 - 14.45,-2.4799995,-0.17162627,11.94,14.45,1636142400.0,1651867200.0,1652212800.0,0.578,12.054381,0.047966804,0.993,,,,87235296.0,15.197,12.739,-0.76900005,-0.060365807,13.66985,-1.6998501,-0.12435031,,0.7876555,15.0,0.0,0.008258176,1548979200.0,,,,
VEII,0.0,8498643.0,Value Exchange,en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,1227277800000.0,POST,,False,PNK,VALUE EXCHANGE INTL INC,"Value Exchange International, Inc.",finmb_144280962,America/New_York,EDT,-14400000.0,us_market,False,4.0,,,,,-0.0132,-5.7142854,1648150306.0,0.2178,0.2178,0.21 - 0.2178,0.21,1534.0,0.231,0.0,0.0,0.0,Other OTC,USD,0.21,4031.0,630.0,0.1388,1.756962,0.079 - 0.7,-0.48219997,-0.6888571,0.079,0.7,1621590660.0,1621590660.0,1621590660.0,0.0,18.15,0.0,0.012,,,,36156100.0,0.058,0.26918,-0.051379994,-0.19087598,0.241605,-0.023804992,-0.09852856,,3.7551727,15.0,0.0,,1627603200.0,,,,
APGB,0.0,841368960.0,,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,1617629400000.0,POST,,False,NYQ,Apollo Strategic Growth Capital,Apollo Strategic Growth Capital II,finmb_700424233,America/New_York,EDT,-14400000.0,us_market,False,2.0,,,,,0.0,0.0,1648152002.0,9.77,9.77,9.7609 - 9.77,9.7609,1609.0,9.77,9.83,30.0,10.0,NYSE,USD,9.7609,210901.0,632620.0,0.13000011,0.0134854885,9.64 - 10.05,-0.27999973,-0.02786067,9.64,10.05,,,,0.0,68.32168,0.0,0.143,,,,69000000.0,-0.613,9.74368,0.026320457,0.002701285,9.75688,0.013120651,0.0013447589,,-15.938011,15.0,0.0,0.33731684,,,,,
PUCK,9.75,323321696.0,Goal Acquisitions,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,1616765400000.0,POST,,False,NCM,Goal Acquisitions Corp.,Goal Acquisitions Corp.,finmb_701012832,America/New_York,EDT,-14400000.0,us_market,False,2.0,,,,,0.0,0.0,1648137509.0,9.75,9.75,9.75 - 9.75,9.75,7203.0,9.75,9.77,9.0,11.0,NasdaqCM,USD,9.75,37436.0,8320.0,0.19999981,0.020942388,9.55 - 9.93,-0.1800003,-0.018126918,9.55,9.93,,,,0.0,,0.0,,,,,33161200.0,-0.002,9.7221,0.027899742,0.0028697238,9.703585,0.04641533,0.004783318,,-4875.0,15.0,0.0,0.0457708,,,,2021-03-26,
CWBC,15.33,137534992.0,,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,848413800000.0,POST,3.0 - Hold,False,NGM,Community West Bancshares,Community West Bancshares,finmb_391509,America/New_York,EDT,-14400000.0,us_market,False,2.0,,,,,0.85999966,5.718083,1648152004.0,15.9,16.55,15.59 - 16.55,15.59,132662.0,15.04,16.14,8.0,22.0,NasdaqGM,USD,15.59,10724.0,39590.0,5.1399994,0.4776951,10.76 - 16.55,-0.6499996,-0.039274905,10.76,16.55,1643360400.0,1651489140.0,1651838400.0,0.27,10.599999,0.01795213,1.5,1.6,1.48,10.743243,8650000.0,11.72,13.8252,2.0747995,0.15007374,13.36155,2.5384493,0.18998164,9.9375,1.3566552,15.0,0.0,1.0389706,1646006400.0,,,,
WM,153.2,64277565440.0,Waste Management,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,582989400000.0,POST,2.3 - Buy,False,NYQ,"Waste Management, Inc.","Waste Management, Inc.",finmb_190694,America/New_York,EDT,-14400000.0,us_market,False,2.0,0.00645625,1648156323.0,155.05,0.0100098,1.4899902,0.9703616,1648152001.0,155.04,155.09,153.34 - 155.09,153.34,1190628.0,153.55,0.0,8.0,8.0,NYSE,USD,153.96,2091285.0,1749920.0,30.609993,0.2460017,124.43 - 168.04,-13.0,-0.07736254,124.43,168.04,1643785860.0,1650889800.0,1651235400.0,2.3,36.13986,0.0149788335,4.29,6.01,5.39,28.764378,414587008.0,17.12,149.62,5.419998,0.03622509,152.763,2.2769928,0.014905395,25.797003,9.056074,15.0,0.0,0.027465936,1648684800.0,,,,
NMS,14.12,84581648.0,,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,1412775000000.0,POSTPOST,,False,NYQ,Nuveen Minnesota Quality Munici,Nuveen Minnesota Quality Municipal Income Fund,finmb_264091139,America/New_York,EDT,-14400000.0,us_market,False,2.0,,,,,-0.0674,-0.458815,1648150899.0,14.6226,14.7499,14.4731 - 14.7499,14.4731,4998.0,14.69,0.0,14.0,9.0,NYSE,,14.77,6500.0,5820.0,0.24259949,0.016870618,14.38 - 16.7,-2.0774012,-0.12439527,14.38,16.7,,,,0.0,,0.0,,,,,5784310.0,,14.87232,-0.24972057,-0.016790962,15.44396,-0.8213606,-0.053183287,,,15.0,0.0,0.018183136,1548979200.0,,,,
BOAS,0.0,284049696.0,BOA,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,1617715800000.0,POSTPOST,,False,NYQ,BOA Acquisition Corp.,BOA Acquisition Corp.,finmb_703380424,America/New_York,EDT,-14400000.0,us_market,False,2.0,,,,,0.0,0.0,1648065597.0,9.89,9.89,9.875 - 9.89,9.875,32.0,9.89,9.9,9.0,10.0,NYSE,USD,9.875,39622.0,74480.0,0.2800007,0.02913639,9.61 - 9.949,-0.059000015,-0.0059302454,9.61,9.949,,,,0.0,,0.0,,,,,23000000.0,-0.546,9.8529,0.037100792,0.0037654694,9.75564,0.13436031,0.013772578,,-18.113554,15.0,0.0,-0.21866156,,,,,
