symbol,bid,marketCap,displayName,language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,currency,firstTradeDateMilliseconds,marketState,averageAnalystRating,tradeable,exchange,shortName,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,priceHint,postMarketChangePercent,postMarketTime,postMarketPrice,postMarketChange,regularMarketChange,regularMarketChangePercent,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,pageViewGrowthWeekly,dividendDate,trailingThreeMonthNavReturns,trailingThreeMonthReturns,ipoExpectedDate,ytdReturn
MYTE,10.96,1007895616.0,MYT Netherlands Parent B.V,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,1611239400000.0,POSTPOST,1.9 - Buy,False,NYQ,MYT Netherlands Parent B.V.,MYT Netherlands Parent B.V.,finmb_699650200,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.80989,1648152079.0,11.0349,-0.0901003,0.26000023,2.394109,1648152002.0,11.12,11.5,10.9 - 11.5,10.9,259827.0,10.86,0.0,10.0,8.0,NYSE,EUR,11.5,250801.0,210160.0,0.3800001,0.03538176,10.74 - 32.71,-21.59,-0.6600428,10.74,32.71,1644991200.0,1652682600.0,1653028200.0,0.0,,0.0,-0.816,0.6,0.56,19.857143,84491800.0,4.868,14.7644,-3.6443996,-0.24683698,24.2854,-13.1654005,-0.54211175,18.533333,2.2843056,15.0,0.0,0.12558317,,,,2021-01-21,
BIRD,6.16,906290752.0,Allbirds,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,1635946200000.0,POSTPOST,1.8 - Buy,False,NMS,"Allbirds, Inc.","Allbirds, Inc.",finmb_325985484,America/New_York,EDT,-14400000.0,us_market,False,2.0,1.4563131,1648163573.0,6.27,0.09000015,0.0,0.0,1648152005.0,6.18,6.31,5.99 - 6.31,5.99,1751059.0,6.18,6.3,40.0,10.0,NasdaqGS,USD,6.21,1887906.0,2747090.0,1.1299996,0.22376229,5.05 - 32.44,-26.259998,-0.80949444,5.05,32.44,1645633393.0,1645633393.0,1645633393.0,0.0,,0.0,-0.655,-0.22,-0.27,-22.888887,66834100.0,2.7,9.524,-3.3440003,-0.35111302,13.741632,-7.5616326,-0.5502718,-28.090908,2.2888887,15.0,0.0,-0.12490282,,,,2021-11-03,
EFTR,4.56,192465824.0,eFFECTOR Therapeutics,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,1614609000000.0,POSTPOST,2.2 - Buy,False,NCM,"eFFECTOR Therapeutics, Inc.","eFFECTOR Therapeutics, Inc.",finmb_240590335,America/New_York,EDT,-14400000.0,us_market,False,4.0,,,,,-0.19999981,-4.1237073,1648152004.0,4.65,4.98,4.57 - 4.98,4.57,12677.0,4.85,5.97,8.0,10.0,NasdaqCM,USD,4.73,51375.0,35800.0,1.1500001,0.32857147,3.5 - 40.42,-35.769997,-0.8849579,3.5,40.42,1647446460.0,1647446460.0,1647446460.0,0.0,10.568182,0.0,0.44,-0.92,-1.0,-4.65,41390500.0,0.428,5.1742,-0.52419996,-0.10131034,9.36435,-4.71435,-0.5034359,-5.054348,10.864486,15.0,0.0,,,,,,
FB,218.95,597656403968.0,Meta Platforms,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,1337347800000.0,POSTPOST,2.1 - Buy,False,NMS,"Meta Platforms, Inc.","Meta Platforms, Inc.",finmb_20765463,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.26415348,1648166393.0,218.99,-0.58000183,6.1100006,2.862363,1648152005.0,219.57,220.67,214.84 - 220.67,214.84,31502314.0,213.46,219.15,9.0,9.0,NasdaqGS,USD,215.0,35638493.0,33690850.0,33.75,0.18162738,185.82 - 384.33,-164.75998,-0.42869404,185.82,384.33,1643817904.0,1650970740.0,1651492800.0,0.0,15.945534,0.0,13.77,14.47,12.39,17.72155,2309080064.0,44.299,240.8804,-21.310394,-0.088468775,318.77225,-99.20224,-0.311201,15.174153,4.9565454,15.0,0.0,-0.08560263,,,,,
AAPL,173.6,2840717950976.0,Apple,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,345479400000.0,POSTPOST,1.8 - Buy,False,NMS,Apple Inc.,Apple Inc.,finmb_24937,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.13787872,1648166398.0,173.83,-0.2400055,3.8600006,2.267787,1648152004.0,174.07,174.14,170.21 - 174.14,170.21,90131418.0,170.21,173.83,8.0,9.0,NasdaqGS,USD,171.06,93374612.0,96522430.0,55.210007,0.4644961,118.86 - 182.94,-8.869995,-0.048485816,118.86,182.94,1643301000.0,1651003200.0,1651521600.0,0.865,28.93932,0.005081957,6.015,6.56,6.16,28.25812,16319399936.0,4.402,166.3282,7.741806,0.04654536,155.30835,18.761658,0.12080263,26.535063,39.543392,15.0,0.0,-0.029798048,1644451200.0,,,,
AMZN,3262.0,1665441333248.0,Amazon.com,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,863703000000.0,POSTPOST,1.7 - Buy,False,NMS,"Amazon.com, Inc.","Amazon.com, Inc.",finmb_18749,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.2746721,1648166396.0,3264.0,-8.98999,4.830078,0.14779198,1648152004.0,3272.99,3282.37,3201.0 - 3282.37,3201.0,2839903.0,3268.16,3264.0,9.0,8.0,NasdaqGS,USD,3274.99,3859374.0,3611660.0,601.54004,0.22517361,2671.45 - 3773.08,-500.0901,-0.13254161,2671.45,3773.08,1643904060.0,1651089600.0,1651521600.0,0.0,50.501312,0.0,64.81,72.85,48.92,66.904945,508844000.0,271.601,3037.0574,235.93262,0.07768461,3331.5571,-58.56714,-0.017579509,44.9278,12.050728,15.0,0.0,-0.5083351,,,,,
NFLX,376.0,166801342464.0,Netflix,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,1022160600000.0,POSTPOST,2.3 - Buy,False,NMS,"Netflix, Inc.","Netflix, Inc.",finmb_32012,America/New_York,EDT,-14400000.0,us_market,False,2.0,0.103807,1648166394.0,376.1,0.390015,1.2200012,0.32577673,1648152004.0,375.71,379.76,368.9 - 379.76,368.9,3888461.0,374.49,377.49,10.0,8.0,NasdaqGS,USD,379.76,8049235.0,5401720.0,45.889984,0.13913645,329.82 - 700.99,-325.28,-0.46402946,329.82,700.99,1650398400.0,1650398400.0,1650398400.0,0.0,33.426155,0.0,11.24,14.37,11.01,34.12443,443963008.0,35.699,399.614,-23.904022,-0.059817776,538.20264,-162.49265,-0.30191723,26.145441,10.524384,15.0,0.0,0.03968951,,,,,
GOOG,2816.13,1866457415680.0,Alphabet,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,1092922200000.0,POSTPOST,1.5 - Strong Buy,False,NMS,Alphabet Inc.,Alphabet Inc.,finmb_29096,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.0484698,1648166390.0,2824.87,-1.36987,56.16992,2.0277436,1648152004.0,2826.24,2827.93,2760.7876 - 2827.93,2760.7876,1027236.0,2770.07,2825.78,14.0,9.0,NasdaqGS,USD,2785.45,1575242.0,1474700.0,815.51,0.4055791,2010.73 - 3042.0,-215.76001,-0.070927024,2010.73,3042.0,,,,0.0,25.189978,0.0,112.197,136.06,115.94,24.376745,315639008.0,380.044,2695.3713,130.86865,0.048553105,2767.096,59.144043,0.021374049,20.772013,7.4366126,15.0,0.0,-0.10284706,,,,,
FB,218.95,597656403968.0,Meta Platforms,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,1337347800000.0,POSTPOST,2.1 - Buy,False,NMS,"Meta Platforms, Inc.","Meta Platforms, Inc.",finmb_20765463,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.26415348,1648166393.0,218.99,-0.58000183,6.1100006,2.862363,1648152005.0,219.57,220.67,214.84 - 220.67,214.84,31502314.0,213.46,219.15,9.0,9.0,NasdaqGS,USD,215.0,35638493.0,33690850.0,33.75,0.18162738,185.82 - 384.33,-164.75998,-0.42869404,185.82,384.33,1643817904.0,1650970740.0,1651492800.0,0.0,15.945534,0.0,13.77,14.47,12.39,17.72155,2309080064.0,44.299,240.8804,-21.310394,-0.088468775,318.77225,-99.20224,-0.311201,15.174153,4.9565454,15.0,0.0,-0.08560263,,,,,
AAPL,173.6,2840717950976.0,Apple,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,345479400000.0,POSTPOST,1.8 - Buy,False,NMS,Apple Inc.,Apple Inc.,finmb_24937,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.13787872,1648166398.0,173.83,-0.2400055,3.8600006,2.267787,1648152004.0,174.07,174.14,170.21 - 174.14,170.21,90131418.0,170.21,173.83,8.0,9.0,NasdaqGS,USD,171.06,93374612.0,96522430.0,55.210007,0.4644961,118.86 - 182.94,-8.869995,-0.048485816,118.86,182.94,1643301000.0,1651003200.0,1651521600.0,0.865,28.93932,0.005081957,6.015,6.56,6.16,28.25812,16319399936.0,4.402,166.3282,7.741806,0.04654536,155.30835,18.761658,0.12080263,26.535063,39.543392,15.0,0.0,-0.029798048,1644451200.0,,,,
AMZN,3262.0,1665441333248.0,Amazon.com,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,863703000000.0,POSTPOST,1.7 - Buy,False,NMS,"Amazon.com, Inc.","Amazon.com, Inc.",finmb_18749,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.2746721,1648166396.0,3264.0,-8.98999,4.830078,0.14779198,1648152004.0,3272.99,3282.37,3201.0 - 3282.37,3201.0,2839903.0,3268.16,3264.0,9.0,8.0,NasdaqGS,USD,3274.99,3859374.0,3611660.0,601.54004,0.22517361,2671.45 - 3773.08,-500.0901,-0.13254161,2671.45,3773.08,1643904060.0,1651089600.0,1651521600.0,0.0,50.501312,0.0,64.81,72.85,48.92,66.904945,508844000.0,271.601,3037.0574,235.93262,0.07768461,3331.5571,-58.56714,-0.017579509,44.9278,12.050728,15.0,0.0,-0.5083351,,,,,
NFLX,376.0,166801342464.0,Netflix,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,1022160600000.0,POSTPOST,2.3 - Buy,False,NMS,"Netflix, Inc.","Netflix, Inc.",finmb_32012,America/New_York,EDT,-14400000.0,us_market,False,2.0,0.103807,1648166394.0,376.1,0.390015,1.2200012,0.32577673,1648152004.0,375.71,379.76,368.9 - 379.76,368.9,3888461.0,374.49,377.49,10.0,8.0,NasdaqGS,USD,379.76,8049235.0,5401720.0,45.889984,0.13913645,329.82 - 700.99,-325.28,-0.46402946,329.82,700.99,1650398400.0,1650398400.0,1650398400.0,0.0,33.426155,0.0,11.24,14.37,11.01,34.12443,443963008.0,35.699,399.614,-23.904022,-0.059817776,538.20264,-162.49265,-0.30191723,26.145441,10.524384,15.0,0.0,0.03968951,,,,,
GOOG,2816.13,1866457415680.0,Alphabet,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,1092922200000.0,POSTPOST,1.5 - Strong Buy,False,NMS,Alphabet Inc.,Alphabet Inc.,finmb_29096,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.0484698,1648166390.0,2824.87,-1.36987,56.16992,2.0277436,1648152004.0,2826.24,2827.93,2760.7876 - 2827.93,2760.7876,1027236.0,2770.07,2825.78,14.0,9.0,NasdaqGS,USD,2785.45,1575242.0,1474700.0,815.51,0.4055791,2010.73 - 3042.0,-215.76001,-0.070927024,2010.73,3042.0,,,,0.0,25.189978,0.0,112.197,136.06,115.94,24.376745,315639008.0,380.044,2695.3713,130.86865,0.048553105,2767.096,59.144043,0.021374049,20.772013,7.4366126,15.0,0.0,-0.10284706,,,,,
FB,218.95,597656403968.0,Meta Platforms,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,1337347800000.0,POSTPOST,2.1 - Buy,False,NMS,"Meta Platforms, Inc.","Meta Platforms, Inc.",finmb_20765463,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.26415348,1648166393.0,218.99,-0.58000183,6.1100006,2.862363,1648152005.0,219.57,220.67,214.84 - 220.67,214.84,31502314.0,213.46,219.15,9.0,9.0,NasdaqGS,USD,215.0,35638493.0,33690850.0,33.75,0.18162738,185.82 - 384.33,-164.75998,-0.42869404,185.82,384.33,1643817904.0,1650970740.0,1651492800.0,0.0,15.945534,0.0,13.77,14.47,12.39,17.72155,2309080064.0,44.299,240.8804,-21.310394,-0.088468775,318.77225,-99.20224,-0.311201,15.174153,4.9565454,15.0,0.0,-0.08560263,,,,,
AAPL,173.6,2840717950976.0,Apple,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,345479400000.0,POSTPOST,1.8 - Buy,False,NMS,Apple Inc.,Apple Inc.,finmb_24937,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.13787872,1648166398.0,173.83,-0.2400055,3.8600006,2.267787,1648152004.0,174.07,174.14,170.21 - 174.14,170.21,90131418.0,170.21,173.83,8.0,9.0,NasdaqGS,USD,171.06,93374612.0,96522430.0,55.210007,0.4644961,118.86 - 182.94,-8.869995,-0.048485816,118.86,182.94,1643301000.0,1651003200.0,1651521600.0,0.865,28.93932,0.005081957,6.015,6.56,6.16,28.25812,16319399936.0,4.402,166.3282,7.741806,0.04654536,155.30835,18.761658,0.12080263,26.535063,39.543392,15.0,0.0,-0.029798048,1644451200.0,,,,
AMZN,3262.0,1665441333248.0,Amazon.com,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,863703000000.0,POSTPOST,1.7 - Buy,False,NMS,"Amazon.com, Inc.","Amazon.com, Inc.",finmb_18749,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.2746721,1648166396.0,3264.0,-8.98999,4.830078,0.14779198,1648152004.0,3272.99,3282.37,3201.0 - 3282.37,3201.0,2839903.0,3268.16,3264.0,9.0,8.0,NasdaqGS,USD,3274.99,3859374.0,3611660.0,601.54004,0.22517361,2671.45 - 3773.08,-500.0901,-0.13254161,2671.45,3773.08,1643904060.0,1651089600.0,1651521600.0,0.0,50.501312,0.0,64.81,72.85,48.92,66.904945,508844000.0,271.601,3037.0574,235.93262,0.07768461,3331.5571,-58.56714,-0.017579509,44.9278,12.050728,15.0,0.0,-0.5083351,,,,,
NFLX,376.0,166801342464.0,Netflix,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,1022160600000.0,POSTPOST,2.3 - Buy,False,NMS,"Netflix, Inc.","Netflix, Inc.",finmb_32012,America/New_York,EDT,-14400000.0,us_market,False,2.0,0.103807,1648166394.0,376.1,0.390015,1.2200012,0.32577673,1648152004.0,375.71,379.76,368.9 - 379.76,368.9,3888461.0,374.49,377.49,10.0,8.0,NasdaqGS,USD,379.76,8049235.0,5401720.0,45.889984,0.13913645,329.82 - 700.99,-325.28,-0.46402946,329.82,700.99,1650398400.0,1650398400.0,1650398400.0,0.0,33.426155,0.0,11.24,14.37,11.01,34.12443,443963008.0,35.699,399.614,-23.904022,-0.059817776,538.20264,-162.49265,-0.30191723,26.145441,10.524384,15.0,0.0,0.03968951,,,,,
GOOG,2816.13,1866457415680.0,Alphabet,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,1092922200000.0,POSTPOST,1.5 - Strong Buy,False,NMS,Alphabet Inc.,Alphabet Inc.,finmb_29096,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.0484698,1648166390.0,2824.87,-1.36987,56.16992,2.0277436,1648152004.0,2826.24,2827.93,2760.7876 - 2827.93,2760.7876,1027236.0,2770.07,2825.78,14.0,9.0,NasdaqGS,USD,2785.45,1575242.0,1474700.0,815.51,0.4055791,2010.73 - 3042.0,-215.76001,-0.070927024,2010.73,3042.0,,,,0.0,25.189978,0.0,112.197,136.06,115.94,24.376745,315639008.0,380.044,2695.3713,130.86865,0.048553105,2767.096,59.144043,0.021374049,20.772013,7.4366126,15.0,0.0,-0.10284706,,,,,
FB,218.95,597656403968.0,Meta Platforms,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,1337347800000.0,POSTPOST,2.1 - Buy,False,NMS,"Meta Platforms, Inc.","Meta Platforms, Inc.",finmb_20765463,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.26415348,1648166393.0,218.99,-0.58000183,6.1100006,2.862363,1648152005.0,219.57,220.67,214.84 - 220.67,214.84,31502314.0,213.46,219.15,9.0,9.0,NasdaqGS,USD,215.0,35638493.0,33690850.0,33.75,0.18162738,185.82 - 384.33,-164.75998,-0.42869404,185.82,384.33,1643817904.0,1650970740.0,1651492800.0,0.0,15.945534,0.0,13.77,14.47,12.39,17.72155,2309080064.0,44.299,240.8804,-21.310394,-0.088468775,318.77225,-99.20224,-0.311201,15.174153,4.9565454,15.0,0.0,-0.08560263,,,,,
AAPL,173.6,2840717950976.0,Apple,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,345479400000.0,POSTPOST,1.8 - Buy,False,NMS,Apple Inc.,Apple Inc.,finmb_24937,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.13787872,1648166398.0,173.83,-0.2400055,3.8600006,2.267787,1648152004.0,174.07,174.14,170.21 - 174.14,170.21,90131418.0,170.21,173.83,8.0,9.0,NasdaqGS,USD,171.06,93374612.0,96522430.0,55.210007,0.4644961,118.86 - 182.94,-8.869995,-0.048485816,118.86,182.94,1643301000.0,1651003200.0,1651521600.0,0.865,28.93932,0.005081957,6.015,6.56,6.16,28.25812,16319399936.0,4.402,166.3282,7.741806,0.04654536,155.30835,18.761658,0.12080263,26.535063,39.543392,15.0,0.0,-0.029798048,1644451200.0,,,,
AMZN,3262.0,1665441333248.0,Amazon.com,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,863703000000.0,POSTPOST,1.7 - Buy,False,NMS,"Amazon.com, Inc.","Amazon.com, Inc.",finmb_18749,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.2746721,1648166396.0,3264.0,-8.98999,4.830078,0.14779198,1648152004.0,3272.99,3282.37,3201.0 - 3282.37,3201.0,2839903.0,3268.16,3264.0,9.0,8.0,NasdaqGS,USD,3274.99,3859374.0,3611660.0,601.54004,0.22517361,2671.45 - 3773.08,-500.0901,-0.13254161,2671.45,3773.08,1643904060.0,1651089600.0,1651521600.0,0.0,50.501312,0.0,64.81,72.85,48.92,66.904945,508844000.0,271.601,3037.0574,235.93262,0.07768461,3331.5571,-58.56714,-0.017579509,44.9278,12.050728,15.0,0.0,-0.5083351,,,,,
NFLX,376.0,166801342464.0,Netflix,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,1022160600000.0,POSTPOST,2.3 - Buy,False,NMS,"Netflix, Inc.","Netflix, Inc.",finmb_32012,America/New_York,EDT,-14400000.0,us_market,False,2.0,0.103807,1648166394.0,376.1,0.390015,1.2200012,0.32577673,1648152004.0,375.71,379.76,368.9 - 379.76,368.9,3888461.0,374.49,377.49,10.0,8.0,NasdaqGS,USD,379.76,8049235.0,5401720.0,45.889984,0.13913645,329.82 - 700.99,-325.28,-0.46402946,329.82,700.99,1650398400.0,1650398400.0,1650398400.0,0.0,33.426155,0.0,11.24,14.37,11.01,34.12443,443963008.0,35.699,399.614,-23.904022,-0.059817776,538.20264,-162.49265,-0.30191723,26.145441,10.524384,15.0,0.0,0.03968951,,,,,
GOOG,2816.13,1866457415680.0,Alphabet,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,1092922200000.0,POSTPOST,1.5 - Strong Buy,False,NMS,Alphabet Inc.,Alphabet Inc.,finmb_29096,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.0484698,1648166390.0,2824.87,-1.36987,56.16992,2.0277436,1648152004.0,2826.24,2827.93,2760.7876 - 2827.93,2760.7876,1027236.0,2770.07,2825.78,14.0,9.0,NasdaqGS,USD,2785.45,1575242.0,1474700.0,815.51,0.4055791,2010.73 - 3042.0,-215.76001,-0.070927024,2010.73,3042.0,,,,0.0,25.189978,0.0,112.197,136.06,115.94,24.376745,315639008.0,380.044,2695.3713,130.86865,0.048553105,2767.096,59.144043,0.021374049,20.772013,7.4366126,15.0,0.0,-0.10284706,,,,,
FB,218.95,597656403968.0,Meta Platforms,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,1337347800000.0,POSTPOST,2.1 - Buy,False,NMS,"Meta Platforms, Inc.","Meta Platforms, Inc.",finmb_20765463,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.26415348,1648166393.0,218.99,-0.58000183,6.1100006,2.862363,1648152005.0,219.57,220.67,214.84 - 220.67,214.84,31502314.0,213.46,219.15,9.0,9.0,NasdaqGS,USD,215.0,35638493.0,33690850.0,33.75,0.18162738,185.82 - 384.33,-164.75998,-0.42869404,185.82,384.33,1643817904.0,1650970740.0,1651492800.0,0.0,15.945534,0.0,13.77,14.47,12.39,17.72155,2309080064.0,44.299,240.8804,-21.310394,-0.088468775,318.77225,-99.20224,-0.311201,15.174153,4.9565454,15.0,0.0,-0.08560263,,,,,
AAPL,173.6,2840717950976.0,Apple,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,345479400000.0,POSTPOST,1.8 - Buy,False,NMS,Apple Inc.,Apple Inc.,finmb_24937,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.13787872,1648166398.0,173.83,-0.2400055,3.8600006,2.267787,1648152004.0,174.07,174.14,170.21 - 174.14,170.21,90131418.0,170.21,173.83,8.0,9.0,NasdaqGS,USD,171.06,93374612.0,96522430.0,55.210007,0.4644961,118.86 - 182.94,-8.869995,-0.048485816,118.86,182.94,1643301000.0,1651003200.0,1651521600.0,0.865,28.93932,0.005081957,6.015,6.56,6.16,28.25812,16319399936.0,4.402,166.3282,7.741806,0.04654536,155.30835,18.761658,0.12080263,26.535063,39.543392,15.0,0.0,-0.029798048,1644451200.0,,,,
AMZN,3262.0,1665441333248.0,Amazon.com,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,863703000000.0,POSTPOST,1.7 - Buy,False,NMS,"Amazon.com, Inc.","Amazon.com, Inc.",finmb_18749,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.2746721,1648166396.0,3264.0,-8.98999,4.830078,0.14779198,1648152004.0,3272.99,3282.37,3201.0 - 3282.37,3201.0,2839903.0,3268.16,3264.0,9.0,8.0,NasdaqGS,USD,3274.99,3859374.0,3611660.0,601.54004,0.22517361,2671.45 - 3773.08,-500.0901,-0.13254161,2671.45,3773.08,1643904060.0,1651089600.0,1651521600.0,0.0,50.501312,0.0,64.81,72.85,48.92,66.904945,508844000.0,271.601,3037.0574,235.93262,0.07768461,3331.5571,-58.56714,-0.017579509,44.9278,12.050728,15.0,0.0,-0.5083351,,,,,
NFLX,376.0,166801342464.0,Netflix,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,1022160600000.0,POSTPOST,2.3 - Buy,False,NMS,"Netflix, Inc.","Netflix, Inc.",finmb_32012,America/New_York,EDT,-14400000.0,us_market,False,2.0,0.103807,1648166394.0,376.1,0.390015,1.2200012,0.32577673,1648152004.0,375.71,379.76,368.9 - 379.76,368.9,3888461.0,374.49,377.49,10.0,8.0,NasdaqGS,USD,379.76,8049235.0,5401720.0,45.889984,0.13913645,329.82 - 700.99,-325.28,-0.46402946,329.82,700.99,1650398400.0,1650398400.0,1650398400.0,0.0,33.426155,0.0,11.24,14.37,11.01,34.12443,443963008.0,35.699,399.614,-23.904022,-0.059817776,538.20264,-162.49265,-0.30191723,26.145441,10.524384,15.0,0.0,0.03968951,,,,,
GOOG,2816.13,1866457415680.0,Alphabet,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,1092922200000.0,POSTPOST,1.5 - Strong Buy,False,NMS,Alphabet Inc.,Alphabet Inc.,finmb_29096,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.0484698,1648166390.0,2824.87,-1.36987,56.16992,2.0277436,1648152004.0,2826.24,2827.93,2760.7876 - 2827.93,2760.7876,1027236.0,2770.07,2825.78,14.0,9.0,NasdaqGS,USD,2785.45,1575242.0,1474700.0,815.51,0.4055791,2010.73 - 3042.0,-215.76001,-0.070927024,2010.73,3042.0,,,,0.0,25.189978,0.0,112.197,136.06,115.94,24.376745,315639008.0,380.044,2695.3713,130.86865,0.048553105,2767.096,59.144043,0.021374049,20.772013,7.4366126,15.0,0.0,-0.10284706,,,,,
FB,218.95,597656403968.0,Meta Platforms,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,1337347800000.0,POSTPOST,2.1 - Buy,False,NMS,"Meta Platforms, Inc.","Meta Platforms, Inc.",finmb_20765463,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.26415348,1648166393.0,218.99,-0.58000183,6.1100006,2.862363,1648152005.0,219.57,220.67,214.84 - 220.67,214.84,31502314.0,213.46,219.15,9.0,9.0,NasdaqGS,USD,215.0,35638493.0,33690850.0,33.75,0.18162738,185.82 - 384.33,-164.75998,-0.42869404,185.82,384.33,1643817904.0,1650970740.0,1651492800.0,0.0,15.945534,0.0,13.77,14.47,12.39,17.72155,2309080064.0,44.299,240.8804,-21.310394,-0.088468775,318.77225,-99.20224,-0.311201,15.174153,4.9565454,15.0,0.0,-0.08560263,,,,,
AAPL,173.6,2840717950976.0,Apple,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,345479400000.0,POSTPOST,1.8 - Buy,False,NMS,Apple Inc.,Apple Inc.,finmb_24937,America/New_York,EDT,-14400000.0,us_market,False,2.0,-0.13787872,1648166398.0,173.83,-0.2400055,3.8600006,2.267787,1648152004.0,174.07,174.14,170.21 - 174.14,170.21,90131418.0,170.21,173.83,8.0,9.0,NasdaqGS,USD,171.06,93374612.0,96522430.0,55.210007,0.4644961,118.86 - 182.94,-8.869995,-0.048485816,118.86,182.94,1643301000.0,1651003200.0,1651521600.0,0.865,28.93932,0.005081957,6.015,6.56,6.16,28.25812,16319399936.0,4.402,166.3282,7.741806,0.04654536,155.30835,18.761658,0.12080263,26.535063,39.543392,15.0,0.0,-0.029798048,1644451200.0,,,,
